,page_number,type,text
57,7,other,Climate Change Risks and Opportunities Environmental Impact
58,7,other,GIVE BACK
59,7,other,Community Engagement Philanthropy Research and Advocacy
60,7,other,GOVERN EFFECTIVELY
61,7,other,Corporate Governance Board Diversity
62,8,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
63,8,header,ESG Materiality
64,8,paragraph,"In late 2021, we completed our first formal materiality assessment to help prioritize our ESG programming and better understand which ESG topics are most material to Chegg and our key stakeholders."
65,8,paragraph,"We engaged over 300 students, professors, employees, executives, employee resource group leaders, investors, and board members to help us evaluate 20 key ESG issues. We value the opinions of our stakeholders, both internal and external, and will continue to engage them on ESG and other topics."
66,8,paragraph,The feedback we received reinforced our belief that Cheggs mission and values are critical to our business success and are deeply integrated into our culture and processes.
67,8,other,Impact on Society
68,8,other,Increasing importance to society
69,8,other,Climate Change
70,8,other,GHG Risks
71,8,other,Opportunities
72,8,other,Community Engagement
73,8,other,"Employee Health, Wellbeing, Engagement Lobbying, Advocacy, Policy Influence"
74,8,other,Transparency Reporting Human Capital Management Equity Natural Resource
75,8,other,Management
76,8,other,Supply Chain Labor Standards
77,8,other,Executive Compensation
78,8,other,Increasing importance to business
79,8,other,0.0 1.0 2.0 3.0 4.0 5.0 6.0 7.0 8.0 9.0 10.0
80,8,other,Environment Learners Employees
81,8,other,Tech Disruption Innovation
82,8,other,ESG Governance
83,8,paragraph,"We are excited to incorporate the conclusions from the materiality assessment. Going forward, our ESG strategy plans to put an increased emphasis on the topics in the upper right hand quadrant, which have been identified by our stakeholders as important to both business and society."
84,8,paragraph,The matrix below is a visual representation of the feedback we gathered from the stakeholder groups.
85,8,other,Accessibility Academic Integrity
86,8,other,Employee Diversity Inclusion
87,8,other,Holistic Approach to Learner Success
88,8,other,Responsible Marketing Ethics Compliance
89,8,other,Impact on Chegg's Business
90,8,other,CATEGORIES:
91,8,other,Quality of Education Learning Outcomes
92,8,other,Privacy Cybersecurity
93,8,other,Board Diversity Independence
94,8,other,Governance
95,8,other,Responsible Business
96,8,other,Practices
97,9,paragraph,Oversight Framework Materiality 2021 Highlights SDGs Awards Disclosures Overview Pillars
98,9,other,FOCUS ON PEOPLE
99,9,other,ACT RESPONSIBLY
100,9,other,HELP LEARNERS
101,9,other,OPERATE SUSTAINABLY
102,9,other,GIVE BACK
103,9,other,GOVERN EFFECTIVELY
104,9,paragraph,"(1) Excludes part time on demand educators with no fixed schedules or hours. (2) globally, including full time and part time, (3) Results reflect a Chegg online survey conducted among a random sample of U.S. Chegg Study and Chegg Study Pack customers that used Chegg Study or Chegg Study Pack in Q4 2021 and Q1 2022. See Help Learners section for more details of this survey. (4) See Operate Sustainably section for more details about our GHG and energy consumption metrics, (5) Chegg.org at times works through our Impact Fund, which is run though the Tides Foundation."
105,9,other,43
106,9,paragraph,Female representation among Global Employees
107,9,other,52
108,9,header,Academic Integrity
109,9,paragraph,Expanded initiatives to support Academic Integrity including the launch of Cheggs Academic Advisory Board
110,9,header,Training
111,9,other,92
112,9,paragraph,Say Chegg helps them better understand concepts they are studying
113,9,other,94
114,9,header,621 tCO
115,9,paragraph,Scope 1 2 Greenhouse Gas emissions
116,9,header,"8,355 GJ"
117,9,header,1.4M
118,9,paragraph,Corporate Giving across Chegg and our Chegg.org Impact Fund
119,9,header,U.N. SDGs
120,9,header,ESG Oversight
121,9,paragraph,Expanded responsibility of renamed Governance and Sustainability Committee to include ESG Oversight
122,9,other,50
123,9,paragraph,Minority representation among US Employees
124,9,header,1k
125,9,paragraph,Say they get better grades when using Chegg to understand coursework
126,9,other,93
127,9,paragraph,"Chegg invested 1,154 per employee on training Enhanced employee training in areas such as Cybersecurity, Insider Trading, and Responsible Marketing Say they work more efficiently when using Chegg to understand coursework Total Energy Consumed, in gigajoules Cheggs business, philanthropic, and community efforts most closely align with 4: Quality Education, 3: Good Health Well Being, 2: Zero Hunger Female representation among Board of Directors"
128,10,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
129,10,paragraph,Act Responsibly Help Learners Give Back Govern Effectively Focus on People
130,10,paragraph,"We focus on people by making Chegg a great place to work. We foster an environment centered on respect, where diversity and inclusion are celebrated, and employees can develop and advance their careers."
131,10,header,"Culture, Belonging Diversity"
132,10,paragraph,"Chegg promotes culture, belonging, and diversity (CBD) across all levels, reflecting the multi cultural learner population that we serve. Cheggs CBD multiyear plan is centered around five pillars:"
133,10,paragraph,"We are extremely proud of the fact that 94 of global employees believe people of all cultures and backgrounds are respected and valued at Chegg. Our programming is about building and amplifying individual and collective strengths to drive deeper understanding around diversity, equity, inclusion, employee engagement, allyship, and actionable steps so that each employee globally can be their best authentic selves in support of our Student First mission."
135,10,other,"Click to view our Culture, Belonging, and Diversity Policy"
136,10,paragraph,Some examples of CBD Programming:
137,10,header,Educate Engage Empower Elevate
138,10,paragraph,"(1) Results reflect a global employee engagement survey conducted by Culture Amp in September 2020. Respondent base (n1,208) among approximately 1,243 invites. Survey responses are not a guarantee of any particular results as individual experiences may vary."
139,10,paragraph,"Cheggs Leading with Inclusion Workshop helps define Diversity Inclusion at Chegg, introduces employees to the CBD Lens, and supports employees to impact diversity in the workplace"
140,10,paragraph,"Cheggs Connection Workshop Series includes workshops such as Fostering Belonging, Pronouns are Important, and Accountability"
141,10,header,Operate Sustainably
142,10,paragraph,"Employee Resource Groups (ERGs) provide an environment that drives understanding and belonging. They foster a diverse, inclusive workplace aligned with Cheggs goals and values."
143,10,paragraph,The Chegg Ambassador Program expands employees CBD knowledge by teaching actionable tools to foster belonging for everyone. Employees earn badges to highlight progress and knowledge.
145,11,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
146,11,paragraph,Act Responsibly Help Learners Give Back Govern Effectively Focus on People Operate Sustainably
147,11,header,Diversity Transparency
148,11,paragraph,"(1) Leadership Manager Above. As of 11 30 20 for 2020 data, as of 12 31 21 for 2021 data. Data excludes part time on demand educators with no fixed schedules or hours. Manager above data excludes Program Managers. May not add to 100 due to rounding and employees choosing not to disclose. Technical Staff includes Analytics BI, Engineering, IT, and UX (excluding UX Research)."
149,11,header,Global Employees
150,11,other,58 57
151,11,other,42 43
152,11,other,2020 2021
153,11,other,2020
154,11,other,2021
155,11,other,63
156,11,other,Male
157,11,other,100
158,11,other,White
159,11,paragraph,Please see ESG Disclosures section of this report for more detailed diversity disclosures
160,11,header,Employees
161,11,other,50 50
162,11,other,50 50
163,11,other,2020 2021
164,11,header,U.S. Employees
165,11,other,31
166,11,other,36
167,11,other,AA Black Asian Hispanic Latinx Native Hawaiian PI Two Other Declined White
168,11,header,2019 2020 2021
169,11,other,38
170,11,other,Female
171,11,paragraph,U.S.
172,11,other,Female Male
173,11,other,49
174,11,other,2020
175,11,other,45
176,11,other,2021
177,11,header,Board of Directors
178,11,other,56
179,11,other,Male
180,11,other,89
181,11,other,White
182,11,header,Global Leadership
183,11,other,63 58
184,11,other,37 42
185,11,other,2020 2021
186,11,header,U.S. Leadership: Mgr Above
187,11,other,34
188,11,other,36
189,11,other,44
190,11,other,Female
191,11,other,50
192,11,other,Male
193,11,other,11
194,11,other,Black
195,11,other,10
196,11,other,Black
197,11,paragraph,U.S.
198,11,header,Leadership
199,11,other,56 51
200,11,other,44 49
201,11,other,2020 2021
202,11,other,56
203,11,other,49
204,11,other,50
205,11,other,Female
206,11,other,10
207,11,other,Latinx
208,11,other,80
209,11,other,White
210,11,other,11
211,12,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
212,12,header,Act Responsibly Help Learners Give Back Govern Effectively Focus on People Operate Sustainably
213,12,other,"1,736"
214,12,paragraph,Global employees
215,12,header,Workforce Planning
216,12,paragraph,Workforce planning is done regularly to assess and predict gaps in our employee headcount and the skills that are needed. We proactively manage talent to meet future business needs.
217,12,paragraph,"We continue to increase our focus on diversity and inclusion within our recruiting and retention efforts , including:"
218,12,paragraph,Increasing the number of qualified candidates from underrepresented groups for open roles
219,12,paragraph,"Introducing an Inclusion Scorecard, which helps hiring managers organize skills and experiences of potential candidates. The tool helps expand talent pools and seeks to eliminate unconscious basis."
220,12,paragraph,"Supporting ERGs with executive and financial support, which allows them to bring in interesting speakers and experts for on topic seminars. We also introduced an interactive dashboard for ERGs promoting deeper employee engagement and providing management and reporting tools for ERG leaders."
221,12,paragraph,"Developing partnerships with organizations and groups that support underrepresented communities and regularly posting job opportunities to these groups, such as the Blacks in Technology Job Board."
222,12,paragraph,"Launching our Chegg Ambassador Program, designed to equip and empower every employee to instill an inclusive and diverse workplace culture."
223,12,paragraph,Increasing brand engagement on social media by highlighting the diversity of our hiring managers and employee base.
224,12,paragraph,31% of U.S. employees participate in ERGs
226,12,paragraph,$1154 Spent per employee on training in 2021
228,12,paragraph,52% of employees registered to begin their journey to become a Chegg Ambassador
231,13,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
232,13,header,Act Responsibly Help Learners Give Back Govern Effectively Focus on People Operate Sustainably
233,13,header,Training and Employee Education
234,13,paragraph,"Chegg is a teaching and learning company, a philosophy which extends to all of our employees. Examples of training and education programs include:"
235,13,paragraph,"Required annual training for global employees on topics such as Insider trading, Security, Ethics, Inclusive Workplace, and Diversity Equality Inclusion"
236,13,paragraph,"Executive level coaching for global employees, providing participants with the necessary tools to be better leaders."
237,13,paragraph,People management skills training available to new managers where participants have an opportunity to meet other people leaders and share experiences and best practices.
238,13,paragraph,Responsible Marketing Training for relevant employees was updated and expanded in 2021. Employees responsible for Chegg advertising receive annual training and these employees are expected to review and regularly reference our Responsible Marketing policy as needed.
239,13,paragraph,Annual Cybersecurity training for global employees covers cybersecurity threat vectors such as phishing and malware.
240,13,paragraph,One week new hire orientation and a first 90 day program supports our new hires as they integrate.
241,13,other,(1) Global full time employees eligible to apply
242,13,paragraph,"New Learning Management System introduced in 2021 based on employee feedback, improving the discoverability of available learning content and the efficiency of internal learning at Chegg."
243,13,paragraph,"Educational assistance and tuition reimbursement programs to support global employees as continuous learners with funds available for programs, classes, books, conferences, and workshops that are business or job related"
244,13,paragraph,"Cheggs Ambassador Program is designed to equip and empower every global employee to instill an inclusive and diverse workplace culture. Upon completion of the Ambassador Program, employees earn a digital badge."
245,13,paragraph,Performance Conversations are expected to occur between each global employee and their manager during each performance cycle (6 12 months) and ongoing feedback throughout the year allows for continued learning and development.
247,14,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
248,14,header,Act Responsibly Help Learners Give Back Govern Effectively Focus on People Operate Sustainably
249,14,header,"Health, Safety, and Wellness"
250,14,paragraph,"The health and safety of our employees and their families is a top priority. After closing our offices in 2020 due to COVID 19 and making sure employees were equipped to work productively from home, we implemented a broad array of incremental benefits, programs, events, vacation time, and some fun functional swag to make a tough situation a little more manageable. Examples include:"
251,14,paragraph,Home office reimbursements Childcare reimbursements Virtual fitness and meditation classes Enhanced our student loan repayment program Expanded access to mental health services Introduced access to substance abuse services
252,14,header,Benefits
253,14,paragraph,"Chegg offers an array of wellness and personal development programs including, but not limited to:"
254,14,paragraph,"Health benefits Tuition Reimbursement Mental Health Support Childcare Credits and Tools Paid Parental Leave In 2021, over 8 of employees were participants in our student debt repayment program In a global employee engagement survey, 92 of employees said that they feel supported to make use of flexible working arrangements"
255,14,paragraph,"Source: Results reflect a global employee engagement survey conducted by Culture Amp in September 2020. Respondent base (n1,208) among approximately 1,243 invites. Survey responses are not a guarantee of any particular results as individual experiences may vary."
256,14,paragraph,Flexible PTO Professional Leadership Coaching Student Debt Repayment Employee Stock Purchase Plan Ergonomic Workplace Design Musical performances from award winning artists
257,14,paragraph,"AMAs (ask me anything) with CEOs, world famous actors and athletes, and leaders of prestigious non profits."
258,14,paragraph,Virtual cooking demos with award winning chefs and hands on activities such as paint class and crafting
259,14,other,14
260,15,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
261,15,header,Act Responsibly Help Learners Give Back Govern Effectively Focus on People Operate Sustainably
262,15,header,Employee Engagement
263,15,paragraph,"We use annual employee surveys to identify areas in which we are doing well and look for ways to be better and identify areas of opportunities to improve. Employees have other formal and informal forums to voice opinions, including performance reviews with their managers, AMAs with leaders across the business, ERG events throughout the year, Cheggs ethics counselor hotline, and our compliance hotline. See ESG Disclosures section of this report for recent feedback from our employees."
264,15,header,Workplace Awards
265,15,paragraph,"Chegg has won 17 best workplace awards from Comparably s 2021 lists, including:"
266,15,paragraph,Best Company to Work for in the Bay Area Best Global Culture Best Company Outlook Best Company for Work Life Balance Best Company for Diversity Best Company for Women Best CEO Best Company Happiness Best Leadership Teams Best Product Design Team Best Operations Team Best Marketing Team Best HR Team Best Engineering Team
267,15,paragraph,"For 2021, Chegg has been voted one of Fortunes Best:"
268,15,paragraph,Small and Medium Workplaces for Millennials Small and Medium Workplaces for Technology Small and Medium Workplaces for in the Bay Area
269,15,other,15
270,16,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
271,16,paragraph,Act Responsibly Help Learners Give Back Govern Effectively Focus on People Operate Sustainably
272,16,header,Mission Driven Company
273,16,paragraph,"We are transforming the way millions of students learn. Our work today will help improve and shape education for future generations and we're just getting started. Part of what drives our employee satisfaction is Chegg's commitment to our values, including having integrity through transparent, candid and authentic communication; dreaming big and innovation; and teamwork, constantly adding to the energy and making others around you better."
274,16,header,Academic Integrity and Learner Data Privacy
275,16,paragraph,"The globalization of learning driven by the internet has created access to knowledge for millions of students worldwide who are eager for tools that empower them for both academic and career success. However, innovative technologies that expand opportunities can also be misused. At Chegg, we believe that academic integrity is fundamental to the learning process and core to our mission. The COVID 19 pandemic exacerbated many ongoing challenges in education, including how students are assessed and how they use online resources. We believe educators must be engaged to reimagine how they teach, assess, and support students as everyone adjusts to a new normal that includes more virtual learning. As a leader in education, and because of our commitment to authentic learning, we have taken steps to improve academic integrity. And we continue to evolve and do more. We take seriously any attempts to cheat or otherwise misuse Chegg Services. Equally as important, we take our obligation to our users and their data privacy rights very seriously. Please see our Academic Integrity page for more details."
276,16,paragraph,"Academic Advisory Board: The board , made up of senior academic officials, provides feedback on Chegg's offerings and strategies to help us better understand the needs and challenges of the academic community."
277,16,paragraph,Learner Data Privacy: Maintaining the privacy of our users is of upmost importance. Our privacy policy outlines our approach to ensuring our users information is protected and the circumstances in which it can be disclosed to third parties.
278,16,paragraph,"(1) Results reflect a global employee engagement survey conducted by Culture Amp in September 2020. Respondent base (n1,208) among approximately 1,243 invites. Survey responses are not a guarantee of any particular results as individual experiences may vary."
279,16,paragraph,94% of employees said Chegg really allows them to make a positive difference in the lives of students
281,16,paragraph,"92% said Cheggs commitment to social responsibility is genuine (e.g. community support, sustainability, etc.)"
284,17,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
285,17,header,Act Responsibly Help Learners Give Back Govern Effectively Focus on People Operate Sustainably
286,17,header,Data Security
287,17,paragraph,"Security is a top priority at Chegg. Our security organization takes a proactive and comprehensive approach based on Cheggs strategic business objectives to protect our customers, our employees and our data. Our efforts aim to reduce incidents and organizational risks."
288,17,header,Security Oversight
289,17,paragraph,"Data security and privacy is led by our Chief Information Security Officer (CISO) in partnership with a cross functional group of senior leadership. Our CISO regularly reports to our Audit Committee, which is responsible for reviewing with management the companys major financial and cybersecurity risk exposures and the steps management has taken to monitor such exposures, including the companys procedures and any related policies, with respect to risk management."
290,17,header,Security Audits
291,17,paragraph,"We take a layered approach to security testing utilizing internal processes and external vendors. We are constantly testing our security, but we also carry out more periodic assessments (for example, when we launch new products or consider new strategic partnerships) and annually (for example, to test our payments platform for PCI compliance)."
292,17,header,Training
293,17,paragraph,"We carry out annual employee training covering cybersecurity threat vectors such as phishing and malware. Our training programs make employees aware of our cybersecurity related policies, processes, and standards. Employees are also provided personalized tools and training based on their individual security performance in regular drills and we provide additional customized, role based training and awareness to targeted internal audiences."
294,17,paragraph,The key pillars of our security organization include:
295,17,paragraph,"Application Security: Build security into all aspects of the software development life cycle Security Operations: Manage potential security incidents and build automated responses to identified threats Training: Promote security focused culture through awareness training Cloud Security: Ensure all cloud systems are architected with security in mind Security Governance: Implement security policies, standards and processes, as well as identify, coordinate and track security risk"
296,17,other,17
297,18,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
298,18,header,Act Responsibly Help Learners Give Back Govern Effectively Focus on People Operate Sustainably
299,18,header,Public Policy
300,18,paragraph,"We strive to make a meaningful and positive contribution to the countries and communities in which we operate. Through policy advocacy, support of the political process, collaborations with business coalitions and contributions to the education ecosystem, we aim to support public policy that is in the interests of global learners, our business, our employees, and other stakeholders."
301,18,paragraph,"Rising Higher Ed tuition has threatened affordability and access, leaving many students with onerous debt or unable to afford college altogether."
302,18,paragraph,40 million Americans owe more than 1.7 trillion in student loan debt
303,18,header,Policy Goal:
304,18,paragraph,Support a modernized student financial aid model Address the key drivers of student debt
305,18,paragraph,Demand for trained workers continues to increase but displaced workers need more affordable and shorter pathways from education to employment.
306,18,paragraph,"Amid the pandemic, workers with a high school degree or less have been displaced at nearly 3x the rate as those with a bachelors degree"
307,18,paragraph,Policy Goal:
308,18,paragraph,Invest in workforce programs providing access to relevant skills training Support workforce programs developed in partnership with employers Trade Associations : Chegg is a member of TechNet and Silicon Valley Leadership Group Lobbying: Cheggs lobbying activity can be accessed via the disclosure websites for the U.S. House of Representatives and the U.S. Senate
309,18,paragraph,"(1) fred.stlouisfed.org series SLOAS; Education Data Initiative, Student Loan Debt Statistics (2) Chegg Consumer Insights, Jan 2022 Quarterly Marketing Tracker: Chegg Services users in the past 3 months (College n438), Chegg services includes Chegg, Mathway, Easybib, CiteThisforMe, BibMe, Citation Machine., Busuu, Thinkful.; (3) nationalskillscoalition.org blog higher education workforce update workers without a college degree are disproportionately impacted by covid 19 job losses ; (4) www.bls.gov news.release hsgec.nr0.htm"
310,18,header,Education Affordability
311,18,header,Career Pathways Skills
312,18,paragraph,"Students are more diverse in age, race, and income than previous generations. Embracing technology can expand access and better serve the modern learner."
313,18,paragraph,"20% of Cheggs users family incomes are 20k, 55 are minorities, 46 are working"
314,18,header,Policy Goal:
315,18,paragraph,Support access to technology and quality broadband for online course delivery Improve digital literacy among faculty Develop models of support that address student needs beyond tuition
316,18,header,Transparency of Student Outcomes
317,18,paragraph,"Students and their families lack reliable, timely, and accurate information to make informed decisions about costs, outcomes, and value of a college education."
318,18,paragraph,Only 63% of U.S. high school graduates enroll in college
319,18,paragraph,Policy Goal:
320,18,paragraph,Support better data transparency in postsecondary education
321,18,header,Supporting Modern Learners
322,18,other,18
323,19,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
324,19,header,Act Responsibly Help Learners Give Back Govern Effectively Focus on People Operate Sustainably
325,19,paragraph,"Chegg helps learners succeed by providing the type of help they need, when they need it, in the format they want to receive it. We focus on putting the student first and we believe we set the standard in how to support the modern learner. The challenges of the last few years have had a dramatic impact on all of us, particularly students, and Chegg is investing to be there with them on their entire journey."
326,19,header,Positive Learner Outcomes
327,19,paragraph,We strive to improve the overall return on investment in education by helping students learn more in less time and at a lower cost. We are extremely proud of our positive impact on learner outcomes.
328,19,paragraph,"(1) Source: Results reflect a Chegg online survey conducted among a random sample of U.S. Chegg Study and Chegg Study Pack customers that used Chegg Study or Chegg Study Pack in Q4 2021 and Q1 2022. Respondent base (n1357) among approximately 472,000 invites. Data shows top 2 box (Agree strongly agree). Sample size represents this population of customers within a margin of error of 2.66 at 95 confidence. Survey responses are not a guarantee of any particular results as individual experiences may vary and each respondent will be entered into a drawing to win 1 of 10 500 e gift cards. Survey fielded between Mar 16 21, 2022."
329,19,header,92% Learn Understand
331,19,paragraph,Say that Chegg helps them better understand the concepts they are studying in school. And 92 also say Chegg helps them learn their coursework.
332,19,header,93% More Efficient
334,19,paragraph,Say that they work more efficiently when they use Chegg to understand their coursework.
335,19,header,94% Better Grades
337,19,paragraph,Say they get better grades when they use Chegg to understand coursework.
338,19,header,94% Help when you need it
340,19,paragraph,Say that Chegg helps them figure it out if they get stuck or have a question when their instructor is not available
341,19,other,19
342,20,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
